[ 2026-02-23 11:04:41,576 ] asyncio - DEBUG - Using proactor: IocpProactor
[ 2026-02-23 11:04:44,698 ] root - INFO - Entered the start_data_ingestion method of TraingPipeline class
[ 2026-02-23 11:04:44,698 ] root - INFO - Getting the data from mongodb
[ 2026-02-23 11:04:44,698 ] root - INFO - Entered initiate_data_ingestion method of Data_Ingestion class
[ 2026-02-23 11:04:44,698 ] root - INFO - Exporting data from mongodb
[ 2026-02-23 11:04:45,348 ] root - INFO - MongoDB connection succesfull
[ 2026-02-23 11:04:47,064 ] root - INFO - Shape of dataframe: (25480, 12)
[ 2026-02-23 11:04:47,066 ] root - INFO - saving exported data into feature store path: artifact\02_23_2026_11_04_38\data_ingestion\feature_store\usvisa.csv
[ 2026-02-23 11:04:47,129 ] root - INFO - Got the data from mongodb
[ 2026-02-23 11:04:47,129 ] root - INFO - Entered split_data_as_train_test method of Data_Ingestion class
[ 2026-02-23 11:04:47,135 ] root - INFO - Performed train test split on the dataframe
[ 2026-02-23 11:04:47,135 ] root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-02-23 11:04:47,135 ] root - INFO - Exporting train and test file path.
[ 2026-02-23 11:04:47,192 ] root - INFO - Exported train and test file path.
[ 2026-02-23 11:04:47,192 ] root - INFO - Performed train test split on the dataset
[ 2026-02-23 11:04:47,192 ] root - INFO - Exited initiate_data_ingestion method of Data_Ingestion class
[ 2026-02-23 11:04:47,192 ] root - INFO - Data ingestion artifact: DataIngestionArtifact(trained_file_path='artifact\\02_23_2026_11_04_38\\data_ingestion\\ingested\\train.csv', test_file_path='artifact\\02_23_2026_11_04_38\\data_ingestion\\ingested\\test.csv')
[ 2026-02-23 11:04:47,192 ] root - INFO - Got the training_set and test_set from mongodb
[ 2026-02-23 11:04:47,192 ] root - INFO - Exited the start_data_ingestion method of TrainPipeline class
[ 2026-02-23 11:04:47,192 ] root - INFO - Entered the start_data_validation method of TrainPipeline class
[ 2026-02-23 11:04:47,236 ] root - INFO - Starting data validation
[ 2026-02-23 11:04:47,358 ] root - INFO - Is required column present: [True]
[ 2026-02-23 11:04:47,358 ] root - INFO - All required columns present in training dataframe: True
[ 2026-02-23 11:04:47,358 ] root - INFO - Is required column present: [True]
[ 2026-02-23 11:04:47,358 ] root - INFO - All required columns present in testing dataframe: True
[ 2026-02-23 11:04:47,369 ] root - DEBUG - Executing <class 'evidently.legacy.calculation_engine.python_engine.PythonEngine.get_metric_implementation.<locals>._Wrapper'>...
[ 2026-02-23 11:07:59,313 ] root - DEBUG - Executing <class 'evidently.legacy.calculation_engine.python_engine.PythonEngine.get_metric_implementation.<locals>._Wrapper'>...
[ 2026-02-23 11:11:09,190 ] root - INFO - 1/12 drift detected.
[ 2026-02-23 11:11:09,191 ] root - INFO - Data validation artifact: DataValidationArtifact(validation_status=True, message='Drift not detected', drift_report_file_path='artifact\\02_23_2026_11_04_38\\data_validation\\drift_report\\report.yaml')
[ 2026-02-23 11:11:09,191 ] root - INFO - Performed the data validation operation
[ 2026-02-23 11:11:09,191 ] root - INFO - Exited the start_data_validation method of TrainPipeline class
[ 2026-02-23 11:11:09,225 ] root - INFO - Starting data transformation
[ 2026-02-23 11:11:09,225 ] root - INFO - Entered get_data_transformer_object method of DataTransformation class
[ 2026-02-23 11:11:09,226 ] root - INFO - Got numerical cols from schema config
[ 2026-02-23 11:11:09,226 ] root - INFO - Initialized StandardScaler, OneHotEncoder, OrdinalEncoder
[ 2026-02-23 11:11:09,226 ] root - INFO - Initialize PowerTransformer
[ 2026-02-23 11:11:09,226 ] root - INFO - Created preprocessor object from ColumnTransformer
[ 2026-02-23 11:11:09,226 ] root - INFO - Exited get_data_transformer_object method of DataTransformation class
[ 2026-02-23 11:11:09,226 ] root - INFO - Got the preprocessor object
[ 2026-02-23 11:11:09,360 ] root - INFO - Got train features and test features of Training dataset
[ 2026-02-23 11:11:09,362 ] root - INFO - Added company_age column to the Training dataset
[ 2026-02-23 11:11:09,362 ] root - INFO - drop the columns in drop_cols of Training dataset
[ 2026-02-23 11:11:09,362 ] root - INFO - Entered drop_columns methon of utils
[ 2026-02-23 11:11:09,363 ] root - INFO - Exited the drop_columns method of utils
[ 2026-02-23 11:11:09,368 ] root - INFO - Added company_age column to the Test dataset
[ 2026-02-23 11:11:09,368 ] root - INFO - Entered drop_columns methon of utils
[ 2026-02-23 11:11:09,369 ] root - INFO - Exited the drop_columns method of utils
[ 2026-02-23 11:11:09,369 ] root - INFO - drop the columns in drop_cols of Test dataset
[ 2026-02-23 11:11:09,370 ] root - INFO - Got train features and test features of Testing dataset
[ 2026-02-23 11:11:09,370 ] root - INFO - Applying preprocessing object on training dataframe and testing dataframe
[ 2026-02-23 11:11:09,454 ] root - INFO - Used the preprocessor object to fit transform the train features
[ 2026-02-23 11:11:09,465 ] root - INFO - Used the preprocessor object to transform the test features
[ 2026-02-23 11:11:09,465 ] root - INFO - Applying SMOTEENN on Training dataset
[ 2026-02-23 11:11:13,712 ] root - INFO - Applied SMOTEENN on training dataset
[ 2026-02-23 11:11:13,712 ] root - INFO - Applying SMOTEENN on testing dataset
[ 2026-02-23 11:11:13,806 ] root - INFO - Applied SMOTEENN on testing dataset
[ 2026-02-23 11:11:13,806 ] root - INFO - Created train array and test array
[ 2026-02-23 11:11:13,807 ] root - INFO - Entered the save_object method of utils
[ 2026-02-23 11:11:13,820 ] root - INFO - Exited the save_object method of utils
[ 2026-02-23 11:11:13,824 ] root - INFO - Saved the preprocessor object
[ 2026-02-23 11:11:13,824 ] root - INFO - Exited initiate_data_transformation method of Data_Transformation class
