[ 2026-02-21 22:19:14,004 ] asyncio - DEBUG - Using proactor: IocpProactor
[ 2026-02-21 22:19:17,197 ] root - INFO - Entered the start_data_ingestion method of TraingPipeline class
[ 2026-02-21 22:19:17,197 ] root - INFO - Getting the data from mongodb
[ 2026-02-21 22:19:17,197 ] root - INFO - Entered initiate_data_ingestion method of Data_Ingestion class
[ 2026-02-21 22:19:17,197 ] root - INFO - Exporting data from mongodb
[ 2026-02-21 22:19:18,276 ] root - INFO - MongoDB connection succesfull
[ 2026-02-21 22:19:20,020 ] root - INFO - Shape of dataframe: (25480, 12)
[ 2026-02-21 22:19:20,031 ] root - INFO - saving exported data into feature store path: artifact\02_21_2026_22_19_08\data_ingestion\feature_store\usvisa.csv
[ 2026-02-21 22:19:20,086 ] root - INFO - Got the data from mongodb
[ 2026-02-21 22:19:20,086 ] root - INFO - Entered split_data_as_train_test method of Data_Ingestion class
[ 2026-02-21 22:19:20,092 ] root - INFO - Performed train test split on the dataframe
[ 2026-02-21 22:19:20,092 ] root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-02-21 22:19:20,092 ] root - INFO - Exporting train and test file path.
[ 2026-02-21 22:19:20,152 ] root - INFO - Exported train and test file path.
[ 2026-02-21 22:19:20,152 ] root - INFO - Performed train test split on the dataset
[ 2026-02-21 22:19:20,152 ] root - INFO - Exited initiate_data_ingestion method of Data_Ingestion class
[ 2026-02-21 22:19:20,152 ] root - INFO - Data ingestion artifact: DataIngestionArtifact(trained_file_path='artifact\\02_21_2026_22_19_08\\data_ingestion\\ingested\\train.csv', test_file_path='artifact\\02_21_2026_22_19_08\\data_ingestion\\ingested\\test.csv')
[ 2026-02-21 22:19:20,152 ] root - INFO - Got the training_set and test_set from mongodb
[ 2026-02-21 22:19:20,152 ] root - INFO - Exited the start_data_ingestion method of TrainPipeline class
[ 2026-02-21 22:19:20,152 ] root - INFO - Entered the start_data_validation method of TrainPipeline class
