[ 2026-02-21 22:21:42,896 ] asyncio - DEBUG - Using proactor: IocpProactor
[ 2026-02-21 22:21:44,274 ] root - INFO - Entered the start_data_ingestion method of TraingPipeline class
[ 2026-02-21 22:21:44,275 ] root - INFO - Getting the data from mongodb
[ 2026-02-21 22:21:44,275 ] root - INFO - Entered initiate_data_ingestion method of Data_Ingestion class
[ 2026-02-21 22:21:44,275 ] root - INFO - Exporting data from mongodb
[ 2026-02-21 22:21:44,615 ] root - INFO - MongoDB connection succesfull
[ 2026-02-21 22:21:46,412 ] root - INFO - Shape of dataframe: (25480, 12)
[ 2026-02-21 22:21:46,414 ] root - INFO - saving exported data into feature store path: artifact\02_21_2026_22_21_41\data_ingestion\feature_store\usvisa.csv
[ 2026-02-21 22:21:46,465 ] root - INFO - Got the data from mongodb
[ 2026-02-21 22:21:46,465 ] root - INFO - Entered split_data_as_train_test method of Data_Ingestion class
[ 2026-02-21 22:21:46,471 ] root - INFO - Performed train test split on the dataframe
[ 2026-02-21 22:21:46,471 ] root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-02-21 22:21:46,471 ] root - INFO - Exporting train and test file path.
[ 2026-02-21 22:21:46,521 ] root - INFO - Exported train and test file path.
[ 2026-02-21 22:21:46,521 ] root - INFO - Performed train test split on the dataset
[ 2026-02-21 22:21:46,521 ] root - INFO - Exited initiate_data_ingestion method of Data_Ingestion class
[ 2026-02-21 22:21:46,521 ] root - INFO - Data ingestion artifact: DataIngestionArtifact(trained_file_path='artifact\\02_21_2026_22_21_41\\data_ingestion\\ingested\\train.csv', test_file_path='artifact\\02_21_2026_22_21_41\\data_ingestion\\ingested\\test.csv')
[ 2026-02-21 22:21:46,521 ] root - INFO - Got the training_set and test_set from mongodb
[ 2026-02-21 22:21:46,521 ] root - INFO - Exited the start_data_ingestion method of TrainPipeline class
[ 2026-02-21 22:21:46,521 ] root - INFO - Entered the start_data_validation method of TrainPipeline class
[ 2026-02-21 22:21:46,556 ] root - INFO - Starting data validation
[ 2026-02-21 22:21:46,696 ] root - INFO - Is required column present: [True]
[ 2026-02-21 22:21:46,696 ] root - INFO - All required columns present in training dataframe: True
[ 2026-02-21 22:21:46,696 ] root - INFO - Is required column present: [True]
[ 2026-02-21 22:21:46,696 ] root - INFO - All required columns present in testing dataframe: True
[ 2026-02-21 22:21:46,708 ] root - DEBUG - Executing <class 'evidently.legacy.calculation_engine.python_engine.PythonEngine.get_metric_implementation.<locals>._Wrapper'>...
[ 2026-02-21 22:25:06,426 ] root - DEBUG - Executing <class 'evidently.legacy.calculation_engine.python_engine.PythonEngine.get_metric_implementation.<locals>._Wrapper'>...
[ 2026-02-21 22:28:30,903 ] root - INFO - 1/12 drift detected.
